age_group,n,prefrail,frail,fi,source,lb,meas,sex,n_frail,n_prefrail,n_robust,robust,country
"[50,55)",203977,7.0105943317138e-4,1.470754055604e-5,vafi,IMRD - THIN,1-year lookback,no,Female,2.999999999999371,142.99999999999858,203831,0.9992842330262726,UK
"[50,55)",203977,0.0081136598734171,1.9119802722856e-4,vafi,IMRD - THIN,3-year lookback,no,Female,38.99999999999998,1654.9999999999998,202283,0.9916951420993544,UK
"[50,55)",203977,0.00527510454610079,5.883016222417e-5,efi,IMRD - THIN,1-year lookback,no,Female,11.999999999999524,1076.0000000000007,202889,0.994666065291675,UK
"[50,55)",203977,0.0247380832152645,8.8735494688126e-4,efi,IMRD - THIN,3-year lookback,no,Female,180.99999999999875,5046.000000000007,198750,0.9743745618378543,UK
"[50,55)",203977,0.00799109703545008,9.314775685493e-5,efi,IMRD - THIN,1-year lookback,yes,Female,18.999999999998057,1630.000000000001,202328,0.991915755207695,UK
"[50,55)",203977,0.0323565892232948,0.00138741132578673,efi,IMRD - THIN,3-year lookback,yes,Female,282.99999999999983,6600.000000000003,197094,0.9662559994509184,UK
"[55,60)",182586,0.00110632797695333,0,vafi,IMRD - THIN,1-year lookback,no,Female,0,202.00000000000068,182384,0.9988936720230467,UK
"[55,60)",182586,0.0108442049226118,2.6836668747877e-4,vafi,IMRD - THIN,3-year lookback,no,Female,48.9999999999987,1979.9999999999982,180557,0.9888874283899094,UK
"[55,60)",182586,0.00915732860131664,9.310680994161e-5,efi,IMRD - THIN,1-year lookback,no,Female,16.999999999998803,1672,180897,0.9907495645887417,UK
"[55,60)",182586,0.0380204396832178,0.00164853822308392,efi,IMRD - THIN,3-year lookback,no,Female,301.0000000000006,6942.000000000005,175343,0.9603310220936984,UK
"[55,60)",182586,0.0130130459071342,1.6430613519108e-4,efi,IMRD - THIN,1-year lookback,yes,Female,29.999999999998533,2376.000000000005,180180,0.9868226479576747,UK
"[55,60)",182586,0.0477528397577032,0.00245911515669328,efi,IMRD - THIN,3-year lookback,yes,Female,448.9999999999992,8718.999999999996,173418,0.9497880450856035,UK
"[60,65)",170565,0.00141295107437047,1.758860258552e-5,vafi,IMRD - THIN,1-year lookback,no,Female,2.999999999999219,240.99999999999923,170321,0.9985694603230441,UK
"[60,65)",170565,0.0137191100167092,4.4557793216662e-4,vafi,IMRD - THIN,3-year lookback,no,Female,75.99999999999955,2340.0000000000045,168149,0.9858353120511242,UK
"[60,65)",170565,0.0141295107437047,2.2865183361182e-4,efi,IMRD - THIN,1-year lookback,no,Female,39.00000000000008,2409.9999999999923,168116,0.9856418374226834,UK
"[60,65)",170565,0.056875677894058,0.00296074810189664,efi,IMRD - THIN,3-year lookback,no,Female,505.0000000000004,9701.000000000004,160359,0.9401635740040454,UK
"[60,65)",170565,0.0202444815759388,3.5177205171049e-4,efi,IMRD - THIN,1-year lookback,yes,Female,59.99999999999972,3453.000000000001,167052,0.9794037463723507,UK
"[60,65)",170565,0.0703250960044558,0.00437956204379562,efi,IMRD - THIN,3-year lookback,yes,Female,746.9999999999999,11995.000000000004,157823,0.9252953419517486,UK
"[65,70)",166487,0.00190405256866903,2.402589992011e-5,vafi,IMRD - THIN,1-year lookback,no,Female,3.9999999999993534,317.0000000000008,166166,0.9980719215314109,UK
"[65,70)",166487,0.019617147284773,7.2077699760341e-4,vafi,IMRD - THIN,3-year lookback,no,Female,119.99999999999893,3266.0000000000023,163101,0.9796620757176236,UK
"[65,70)",166487,0.0235814207715918,3.9642734868187e-4,efi,IMRD - THIN,1-year lookback,no,Female,65.9999999999985,3926.000000000004,162495,0.9760221518797263,UK
"[65,70)",166487,0.0834419504225555,0.00561605410632662,efi,IMRD - THIN,3-year lookback,no,Female,935,13891.999999999998,151660,0.9109419954711179,UK
"[65,70)",166487,0.032903469940596,7.2678347258344e-4,efi,IMRD - THIN,1-year lookback,yes,Female,120.99999999999918,5478.000000000006,160888,0.9663697465868206,UK
"[65,70)",166487,0.101455368887661,0.00854120742160049,efi,IMRD - THIN,3-year lookback,yes,Female,1422.0000000000007,16891.00000000002,148173.99999999997,0.8900034236907385,UK
"[70,75)",140385,0.00379670192684404,6.410941339886e-5,vafi,IMRD - THIN,1-year lookback,no,Female,8.99999999999896,533.0000000000006,139843,0.9961391886597571,UK
"[70,75)",140385,0.0311856679844713,0.00146739324001852,vafi,IMRD - THIN,3-year lookback,no,Female,205.99999999999994,4378.000000000004,135801,0.9673469387755103,UK
"[70,75)",140385,0.0406026284859494,9.5451793282758e-4,efi,IMRD - THIN,1-year lookback,no,Female,133.99999999999983,5700.000000000006,134551,0.958442853581223,UK
"[70,75)",140385,0.132585390177013,0.0122092816184065,efi,IMRD - THIN,3-year lookback,no,Female,1713.9999999999966,18612.99999999997,120058.00000000003,0.8552053282045805,UK
"[70,75)",140385,0.0559034084838124,0.00176657050254657,efi,IMRD - THIN,1-year lookback,yes,Female,248.00000000000023,7848.000000000004,132289,0.942330021013641,UK
"[70,75)",140385,0.15773052676568,0.0175374861986679,efi,IMRD - THIN,3-year lookback,yes,Female,2461.999999999993,22142.999999999985,115780.00000000001,0.8247319870356521,UK
"[75,80)",119257,0.0065153408185683,1.2577878028124e-4,vafi,IMRD - THIN,1-year lookback,no,Female,14.99999999999984,776.9999999999997,118465,0.9933588804011505,UK
"[75,80)",119257,0.0516279966794402,0.00264973963792482,vafi,IMRD - THIN,3-year lookback,no,Female,316.0000000000003,6157,112784,0.945722263682635,UK
"[75,80)",119257,0.0715932817360826,0.00207115724863111,efi,IMRD - THIN,1-year lookback,no,Female,247.0000000000003,8538.000000000004,110472,0.9263355610152864,UK
"[75,80)",119257,0.206629380246023,0.0253234610966233,efi,IMRD - THIN,3-year lookback,no,Female,3020.000000000005,24641.999999999967,91595.00000000003,0.7680471586573537,UK
"[75,80)",119257,0.0968580460685746,0.00393268319679348,efi,IMRD - THIN,1-year lookback,yes,Female,469.00000000000006,11551,107237,0.899209270734632,UK
