age_group,n,prefrail,frail,fi,source,lb,meas,sex,n_frail,n_prefrail,n_robust,robust,country
"[45,50)",107908,0.006181191385254103,5.5602921006778344e-5,efi,imrd-emis,1-year lookback,yes,All,5.999999999999438,666.9999999999998,107235,0.9937632056937391,UK
"[50,55)",110684,0.011392793899750633,2.8007661450615997e-4,efi,imrd-emis,1-year lookback,yes,All,30.999999999999808,1260.999999999999,109392,0.9883271294857432,UK
"[55,60)",100247,0.018943210270631543,5.386694863686607e-4,efi,imrd-emis,1-year lookback,yes,All,53.99999999999913,1899.0000000000002,98294,0.9805181202429998,UK
"[60,65)",90775,0.03502065546681354,0.001101624896722664,efi,imrd-emis,1-year lookback,yes,All,99.99999999999983,3178.999999999999,87496,0.9638777196364637,UK
"[65,70)",84460,0.05800378877575181,0.0026047833293866944,efi,imrd-emis,1-year lookback,yes,All,220.00000000000023,4898.999999999998,79341,0.9393914278948615,UK
"[70,75)",73691,0.09547977364942782,0.006106580179397756,efi,imrd-emis,1-year lookback,yes,All,450,7035.999999999985,66205.00000000001,0.8984136461711745,UK
"[75,80)",61366,0.15110973503242844,0.013851318319590643,efi,imrd-emis,1-year lookback,yes,All,849.9999999999994,9273.000000000004,51243,0.835038946647981,UK
"[80,120]",107588,0.24636576569877675,0.032466446072052665,efi,imrd-emis,1-year lookback,yes,All,3493.000000000002,26505.999999999993,77589.00000000001,0.7211677882291707,UK
"[40,45)",51159,0.00412439648937626,9.773451396626e-5,efi,imrd-emis,1-year lookback,yes,Female,4.999999999999895,211.00000000000009,50943,0.9957778689966574,UK
"[45,50)",51796,0.00751023245038227,3.861302031044e-5,efi,imrd-emis,1-year lookback,yes,Female,1.9999999999995504,389.00000000000006,51405,0.9924511545293073,UK
"[50,55)",53701,0.01258821995866,2.4208115305115e-4,efi,imrd-emis,1-year lookback,yes,Female,12.999999999999806,676.0000000000007,53012,0.9871696988882889,UK
"[55,60)",48163,0.0198492618815273,5.3983348213358e-4,efi,imrd-emis,1-year lookback,yes,Female,25.999999999999613,955.9999999999993,47181,0.9796109046363392,UK
"[60,65)",43894,0.034674442976261,8.6572196655579e-4,efi,imrd-emis,1-year lookback,yes,Female,37.999999999999844,1522.0000000000005,42334,0.9644598350571832,UK
"[65,70)",41309,0.0551695756372703,0.00259023457357961,efi,imrd-emis,1-year lookback,yes,Female,107.0000000000001,2278.9999999999986,38923,0.94224018978915,UK
"[70,75)",37439,0.0903336093378563,0.00550228371484281,efi,imrd-emis,1-year lookback,yes,Female,205.99999999999997,3382.000000000002,33851,0.904164106947301,UK
"[75,80)",31970,0.143822333437598,0.0124178917735377,efi,imrd-emis,1-year lookback,yes,Female,397.0000000000002,4598.000000000008,26974.999999999993,0.8437597747888643,UK
"[80,120]",64298,0.241282777069271,0.0311829294845874,efi,imrd-emis,1-year lookback,yes,Female,2005.0000000000007,15513.999999999987,46779.000000000015,0.7275342934461416,UK
"[40,45)",56050,0.00210526315789474,3.568242640499e-5,efi,imrd-emis,1-year lookback,yes,Male,1.9999999999996896,118.00000000000017,55930,0.9978590544157002,UK
"[45,50)",56112,0.00495437696036498,7.128599942971e-5,efi,imrd-emis,1-year lookback,yes,Male,3.9999999999998876,277.9999999999998,55830,0.9949743370402053,UK
"[50,55)",56983,0.0102662197497499,3.1588368460769e-4,efi,imrd-emis,1-year lookback,yes,Male,18,584.9999999999985,56380,0.9894178965656424,UK
"[55,60)",52084,0.0181053682512864,5.3759311880807e-4,efi,imrd-emis,1-year lookback,yes,Male,27.999999999999517,943.0000000000009,51113,0.9813570386299055,UK
